,price,size_in_sqf,number_of_bath,number_of_bed,full_location,location_area,purpose_of_listing,type_of_listing,completion_status
6610,9900000.0,1225.0,2,3,"Sector 5, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6611,18500000.0,1809.0,3,3,"Sector 5, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6612,11500000.0,1554.0,3,3,"Pallabi, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6613,8000000.0,1550.0,3,3,"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",Agargaon,For Sale,Apartment,Ready
6614,11500000.0,1554.0,3,3,"Pallabi, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6615,11500000.0,1554.0,3,3,"Pallabi, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6616,11500000.0,1554.0,3,3,"Pallabi, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6617,6500000.0,944.0,2,3,"Block G, Section 1, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6618,11500000.0,1554.0,3,3,"Pallabi, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6619,11500000.0,1554.0,3,3,"Pallabi, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6620,3629999.9999999995,1100.0,2,3,"Bank Town, Savar, Dhaka",Savar,For Sale,Apartment,Ready
6621,5000000.0,1000.0,3,3,"Hazaribag, Dhaka",Hazaribag,For Sale,Apartment,Ready
6622,4800000.0,1400.0,3,3,"Shah Ali Bag, Section 1, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6623,6759999.999999999,1120.0,3,3,"Bashabo, Dhaka",Bashabo,For Sale,Apartment,Ready
6624,7475000.0,1250.0,3,3,"Bashabo, Dhaka",Bashabo,For Sale,Apartment,Under Construction
6625,6759999.999999999,1120.0,3,3,"Bashabo, Dhaka",Bashabo,For Sale,Apartment,Under Construction
6626,6759999.999999999,1120.0,3,3,"Bashabo, Dhaka",Bashabo,For Sale,Apartment,Under Construction
6627,7475000.0,1250.0,3,3,"Bashabo, Dhaka",Bashabo,For Sale,Apartment,Under Construction
6628,2800000.0,700.0,2,2,"Bawnia, Turag, Dhaka",Turag,For Sale,Apartment,Ready
6629,5000000.0,1272.0,3,3,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6630,5000000.0,1272.0,3,3,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6631,5000000.0,1272.0,3,3,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6632,5000000.0,1272.0,3,3,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6633,5000000.0,1272.0,3,3,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",Mohammadpur,For Sale,Apartment,Ready
6634,3500000.0,970.0,2,2,"Pirerbag, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6635,7500000.0,1350.0,3,3,"Block B, Section 12, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6636,11500000.0,1721.0,3,3,"Block F, Bashundhara R-A, Dhaka",Bashundhara R-A,For Sale,Apartment,Ready
6637,6300000.0,1400.0,3,3,"Pallabi Extension, Pallabi, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6638,11500000.0,1500.0,3,3,"Sector 13, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6639,7500000.0,1300.0,3,3,"Sector 10, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6640,13000000.0,1700.0,3,3,"Sector 7, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6641,10000000.0,1520.0,3,3,"Sector 7, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6642,10000000.0,1520.0,3,3,"Sector 7, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6643,12500000.0,1850.0,3,3,"Eskaton, Dhaka",Eskaton,For Sale,Apartment,Ready
6644,16000000.0,1575.0,4,3,"Kalabagan, Dhaka",Kalabagan,For Sale,Apartment,Ready
6645,4500000.0,1000.0,2,3,"Block G, Arambag Residential Area, Pallabi, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6646,6250000.0,1250.0,3,3,"West Agargaon, Agargaon, Dhaka",Agargaon,For Sale,Apartment,Ready
6647,8500000.0,1195.0,3,3,"Avenue 1, Mirpur DOHS, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6648,45000000.0,3200.0,5,5,"Gulshan 1, Gulshan, Dhaka",Gulshan,For Sale,Duplex,Ready
6649,7000000.0,1150.0,2,3,"West Agargaon, Agargaon, Dhaka",Agargaon,For Sale,Apartment,Ready
6650,11000000.0,1695.0,3,3,"Sector 12, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6651,65000000.0,9000.0,8,7,"Sector 11, Uttara, Dhaka",Uttara,For Sale,Building,Ready
6652,16500000.0,1842.0,4,3,"Sector 12, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6653,5500000.0,900.0,2,2,"Sector 5, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6654,9000000.0,1050.0,3,3,"Sector 5, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6655,35000000.0,2210.0,4,3,"Banani, Dhaka",Banani,For Sale,Apartment,Ready
6656,28000000.0,2147.0,3,3,"Gulshan 1, Gulshan, Dhaka",Gulshan,For Sale,Apartment,Ready
6657,15000000.0,1511.0,4,3,"Sector 11, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6658,9000000.0,1050.0,3,3,"Sector 5, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6659,9000000.0,1050.0,3,3,"Sector 5, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6660,45000000.0,2600.0,4,3,"Dhanmondi, Dhaka",Dhanmondi,For Sale,Apartment,Ready
6661,30000000.0,2880.0,4,3,"Dhanmondi, Dhaka",Dhanmondi,For Sale,Apartment,Ready
6662,15000000.0,1550.0,4,3,"Sector 7, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6663,5200000.0,950.0,2,3,"Block B, Section 10, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6664,17500000.0,1757.0,3,3,"Sector 4, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6665,4500000.0,900.0,2,2,"East Rampura, Rampura, Dhaka",Rampura,For Sale,Apartment,Ready
6666,4000000.0,1250.0,3,3,"Uttar Khan, Dhaka",Uttar Khan,For Sale,Apartment,Ready
6667,8000000.0,1250.0,3,3,"Avenue 2, Block A, Section 11, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6668,52000000.0,3590.0,5,4,"Banani DOHS, Dhaka",Banani DOHS,For Sale,Apartment,Ready
6669,11600000.0,1550.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6670,11700000.0,1565.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6671,8255000.0,1270.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6672,8151000.000000001,1254.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6673,8183000.0,1259.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6674,8028000.0,1235.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6675,36000000.0,2700.0,3,3,"Gulshan 1, Gulshan, Dhaka",Gulshan,For Sale,Apartment,Ready
6676,8183000.0,1259.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6677,14000000.0,1550.0,4,3,"Sector 12, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6678,3800000.0,894.0,2,2,"Kazibari, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6679,2500000.0,550.0,2,2,"Hazaribag, Dhaka",Hazaribag,For Sale,Apartment,Ready
6680,3750000.0,887.0,2,2,"Kazibari, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6681,5500000.0,1575.0,4,4,"Middle Paikpara, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6682,3800000.0,894.0,2,2,"Kazibari, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6683,5800000.0,1250.0,3,3,"South Mollartek, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
